City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
137,Woodmere,US,72.46,broken clouds,40.6321,-73.7126,Five Towns Inn
140,Biak,ID,76.51,moderate rain,-0.9131,122.8766,Penginapan Kim
143,Marsa Matruh,EG,71.8,clear sky,31.3525,27.2453,Beau Site
147,La Ronge,CA,55.62,broken clouds,55.1001,-105.2842,Northland Motor Hotel
148,Faanui,PF,80.98,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
151,Buchanan,LR,79.39,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
153,Russell,US,71.2,moderate rain,32.3502,-85.1999,Macs
154,Sarangani,PH,80.96,broken clouds,5.4033,125.4636,Ballistic Islet
155,Thessalon,CA,64.69,overcast clouds,46.2501,-83.5666,Carolyn Beach Inn & Restaurant
157,Ladushkin,RU,55.26,clear sky,54.5703,20.171,Жилой дом
158,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Alize Plage
159,Sao Filipe,CV,73.15,scattered clouds,14.8961,-24.4956,Hotel Xaguate
160,Lagoa,PT,61.99,overcast clouds,39.05,-27.9833,Casa Das Faias
162,Hasaki,JP,68.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
164,Lompoc,US,74.79,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
165,Salinas,US,68.81,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
168,Tezu,IN,72.41,overcast clouds,27.9167,96.1667,Circuit House
169,Svetlyy,RU,55.45,clear sky,54.675,20.1347,"Gostinitsa-Kafe, Alena"
171,Mayo,US,74.1,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
173,Maragogi,BR,76.59,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
175,Warwick,US,70.88,broken clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
177,Farafangana,MG,70.74,few clouds,-22.8167,47.8333,Miarina
179,Aguimes,ES,66.83,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
180,Elizabeth City,US,79.05,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
181,Hamilton,US,73.72,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
183,Radhanpur,IN,84.13,clear sky,23.8333,71.6,"HONEST - HOTEL (VIRAT HOTEL AND GUEST HOUSE, RADHANPUR))"
184,Madang,PG,74.71,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
185,Mareeba,AU,61.45,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
187,Ibra,OM,84.79,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
188,Bubaque,GW,79.43,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
189,Kapoeta,SS,76.35,broken clouds,4.7717,33.5903,Eastgate Hotel
191,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
192,Makakilo City,US,79.2,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
193,Bandarbeyla,SO,80.55,broken clouds,9.4942,50.8122,JABIR HOTEL
195,Hannan,JP,61.97,overcast clouds,34.3217,135.2325,Hakotsukuri Beach - Pichi Pichi Beach
197,Cairns,AU,66.07,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
201,Nabire,ID,74.19,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
204,Cayenne,GF,84.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
208,Kyzyl-Suu,KG,56.61,clear sky,42.3414,78.0056,Gostinitsa Nur-Ordo
209,Hualmay,PE,68.11,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
210,Dingle,PH,76.37,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
211,Uvinza,TZ,69.13,broken clouds,-5.1036,30.3911,Crown Lodge and lounge
212,Noumea,NC,75.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
214,Cap Malheureux,MU,70.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
215,Dharchula,IN,69.01,overcast clouds,29.85,80.5333,Mahara Hotel
