City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ayan,RU,2022-05-23 20:28:06,56.45,138.1667,33.4,98,100,7.27
68,Guerrero Negro,MX,2022-05-23 20:28:07,27.9769,-114.0611,68.14,55,0,14.72
69,Ostersund,SE,2022-05-23 20:28:07,63.1792,14.6357,57.65,47,75,9.22
70,Paamiut,GL,2022-05-23 20:28:08,61.994,-49.6678,32.25,84,96,6.53
71,Mar Del Plata,AR,2022-05-23 20:24:13,-38.0023,-57.5575,60.1,78,100,5.75
72,Mahebourg,MU,2022-05-23 20:28:08,-20.4081,57.7,75.49,73,40,11.5
73,Mitsamiouli,KM,2022-05-23 20:28:09,-11.3847,43.2844,79.32,75,18,4.74
74,Kavieng,PG,2022-05-23 20:28:09,-2.5744,150.7967,81.73,75,68,13.82
75,Barrow,US,2022-05-23 20:28:03,71.2906,-156.7887,23.02,86,100,17.27
76,Boralday,KZ,2022-05-23 20:28:10,43.3578,76.8594,49.86,81,75,4.47
77,Narrabri,AU,2022-05-23 20:28:10,-30.3167,149.7833,51.53,88,93,3.0
78,Hobart,AU,2022-05-23 20:26:07,-42.8794,147.3294,45.27,91,100,4.61
79,Bima,ID,2022-05-23 20:28:11,-8.4667,118.7167,73.72,87,8,2.04
80,Pinyug,RU,2022-05-23 20:28:11,60.251,47.7842,28.53,98,100,2.15
81,Verkhoshizhemye,RU,2022-05-23 20:28:11,58.011,49.1038,31.6,96,99,4.63
82,Ayr,GB,2022-05-23 20:28:12,55.4627,-4.6339,53.58,71,20,16.11
83,Hilo,US,2022-05-23 20:28:12,19.7297,-155.09,83.28,71,75,10.0
84,Kozhva,RU,2022-05-23 20:28:12,65.1073,57.0459,35.96,91,47,5.55
85,Gat,IL,2022-05-23 20:28:13,31.61,34.7642,68.68,73,0,4.36
86,Katsuura,JP,2022-05-23 20:28:13,35.1333,140.3,61.27,81,99,3.13
87,Tiksi,RU,2022-05-23 20:28:14,71.6872,128.8694,32.4,99,100,2.08
88,Chapais,CA,2022-05-23 20:28:14,49.7834,-74.8492,51.58,37,100,5.23
89,Chokurdakh,RU,2022-05-23 20:28:14,70.6333,147.9167,33.69,99,100,4.76
90,Port-Gentil,GA,2022-05-23 20:28:15,-0.7193,8.7815,76.96,78,20,5.75
91,Nanortalik,GL,2022-05-23 20:29:15,60.1432,-45.2371,35.19,85,97,17.27
92,Sobolevo,RU,2022-05-23 20:29:15,54.4299,31.8996,44.2,82,49,8.75
93,Ancud,CL,2022-05-23 20:29:16,-41.8697,-73.8203,48.81,78,87,17.13
94,Pahrump,US,2022-05-23 20:29:16,36.2083,-115.9839,89.26,9,21,10.0
95,Tezu,IN,2022-05-23 20:29:16,27.9167,96.1667,75.45,78,97,2.51
96,Kawalu,ID,2022-05-23 20:29:17,-7.3817,108.2082,72.03,93,98,3.06
97,Khatanga,RU,2022-05-23 20:29:17,71.9667,102.5,25.11,83,73,11.59
98,Butaritari,KI,2022-05-23 20:29:18,3.0707,172.7902,81.86,79,100,16.64
99,Qaanaaq,GL,2022-05-23 20:29:18,77.484,-69.3632,33.82,76,100,7.99
100,Mantua,IT,2022-05-23 20:29:18,45.1667,10.7833,79.75,75,5,7.0
101,Cap Malheureux,MU,2022-05-23 20:29:19,-19.9842,57.6142,75.47,70,88,8.01
102,Skoghall,SE,2022-05-23 20:29:19,59.3232,13.4655,57.76,54,40,4.61
103,Hounde,BF,2022-05-23 20:29:19,11.5,-3.5167,78.33,64,97,11.32
104,Torbay,CA,2022-05-23 20:29:20,47.6666,-52.7314,65.17,62,75,23.02
105,Lagos,NG,2022-05-23 20:29:13,6.5833,3.75,77.32,84,100,2.19
106,Lumbog,PH,2022-05-23 20:29:20,7.5581,123.2014,75.07,90,85,3.67
107,Narsaq,GL,2022-05-23 20:29:21,60.9167,-46.05,43.02,79,95,4.0
108,Port Elizabeth,ZA,2022-05-23 20:29:02,-33.918,25.5701,57.09,94,0,2.3
109,Provideniya,RU,2022-05-23 20:29:21,64.3833,-173.3,46.51,71,0,4.47
110,San Patricio,US,2022-05-23 20:29:22,28.017,-97.5169,86.09,48,99,16.62
111,Upernavik,GL,2022-05-23 20:29:22,72.7868,-56.1549,31.84,91,100,4.83
112,Hamilton,US,2022-05-23 20:29:22,39.1834,-84.5333,66.06,71,75,8.05
113,Lodeynoye Pole,RU,2022-05-23 20:29:23,60.726,33.5531,39.22,62,100,4.61
114,Haines Junction,CA,2022-05-23 20:29:23,60.7522,-137.5108,51.75,46,100,4.61
115,Camacha,PT,2022-05-23 20:29:24,33.0833,-16.3333,63.82,77,40,14.97
116,Komsomolskiy,UZ,2022-05-23 20:29:24,40.4272,71.7189,54.32,76,100,4.61
117,Elizabeth City,US,2022-05-23 20:29:25,36.2946,-76.2511,75.22,72,20,16.11
118,Cururupu,BR,2022-05-23 20:29:25,-1.8283,-44.8683,79.09,86,19,3.44
119,Vychegodskiy,RU,2022-05-23 20:29:25,61.247,46.8984,27.12,99,100,1.41
120,Anadyr,RU,2022-05-23 20:29:26,64.75,177.4833,54.1,54,0,6.71
121,Mnogovershinnyy,RU,2022-05-23 20:29:26,53.9353,139.9242,32.68,93,100,5.19
122,Ekhabi,RU,2022-05-23 20:29:27,53.5102,142.9671,33.84,97,100,11.81
123,Pevek,RU,2022-05-23 20:29:27,69.7008,170.3133,36.79,85,57,10.85
124,Perth,AU,2022-05-23 20:24:42,-31.9333,115.8333,65.79,85,40,20.71
125,Kapaa,US,2022-05-23 20:29:28,22.0752,-159.319,80.11,71,0,11.5
126,High Level,CA,2022-05-23 20:29:28,58.5169,-117.136,51.91,46,75,8.05
127,New Norfolk,AU,2022-05-23 20:29:28,-42.7826,147.0587,44.92,88,13,2.01
128,Hit,IQ,2022-05-23 20:29:29,33.6416,42.8251,78.67,27,0,8.66
129,Kalamare,BW,2022-05-23 20:29:29,-22.9337,26.5703,55.85,49,0,4.56
130,Murud,IN,2022-05-23 20:29:30,18.3258,72.965,85.86,64,93,8.84
131,Tagusao,PH,2022-05-23 20:29:30,9.1924,117.8141,79.99,76,100,2.73
132,Faya,SA,2022-05-23 20:29:30,18.3851,42.4509,71.71,25,0,3.24
133,Dongsheng,CN,2022-05-23 20:29:31,39.8161,109.9776,62.53,50,40,8.19
134,Oussouye,SN,2022-05-23 20:30:31,12.485,-16.5469,74.89,76,5,13.96
135,Tecolutla,MX,2022-05-23 20:30:32,20.4833,-97.0167,94.86,67,0,15.43
136,Lebu,CL,2022-05-23 20:30:32,-37.6167,-73.65,50.65,68,100,2.39
137,Talnakh,RU,2022-05-23 20:30:33,69.4865,88.3972,31.21,92,99,0.34
138,Bilma,NE,2022-05-23 20:30:33,18.6853,12.9164,87.44,10,57,4.81
139,Tottori,JP,2022-05-23 20:27:27,35.5,134.2333,58.28,50,13,5.97
140,Merauke,ID,2022-05-23 20:30:33,-8.4667,140.3333,76.12,90,95,9.69
141,Jadu,LY,2022-05-23 20:30:34,31.953,12.0261,74.75,17,0,8.34
142,Kununurra,AU,2022-05-23 20:30:34,-15.7667,128.7333,60.78,88,19,0.0
143,Aykhal,RU,2022-05-23 20:30:34,66.0,111.5,37.78,88,100,15.82
144,Lac Du Bonnet,CA,2022-05-23 20:30:35,50.2536,-96.0612,61.54,42,95,12.1
145,Lappeenranta,FI,2022-05-23 20:30:35,61.0587,28.1887,50.05,67,0,1.14
146,Buala,SB,2022-05-23 20:30:36,-8.145,159.5921,82.11,77,46,5.1
147,Cortez,US,2022-05-23 20:30:36,37.3489,-108.5859,59.76,28,75,12.66
148,Flin Flon,CA,2022-05-23 20:26:29,54.7682,-101.865,57.04,44,75,12.66
149,Lasa,IT,2022-05-23 20:30:37,46.6166,10.7002,65.28,89,63,3.8
150,Beloha,MG,2022-05-23 20:30:37,-25.1667,45.05,67.96,66,3,4.59
151,Flinders,AU,2022-05-23 20:30:38,-34.5833,150.8552,54.18,91,29,4.0
152,Hami,CN,2022-05-23 20:30:38,42.8,93.45,81.66,13,100,11.43
153,Petropavlovsk-Kamchatskiy,RU,2022-05-23 20:30:38,53.0452,158.6483,41.59,100,100,0.0
154,Palana,RU,2022-05-23 20:30:39,59.1167,159.9667,42.01,78,53,5.91
155,Kodiak,US,2022-05-23 20:30:39,57.79,-152.4072,45.91,87,100,14.97
156,Tuatapere,NZ,2022-05-23 20:30:40,-46.1333,167.6833,50.61,84,69,10.42
157,Egvekinot,RU,2022-05-23 20:30:40,66.3167,-179.1667,46.18,56,1,3.47
158,Fortuna,US,2022-05-23 20:29:38,40.5982,-124.1573,61.93,76,20,16.11
159,Nhulunbuy,AU,2022-05-23 20:30:40,-12.2333,136.7667,77.61,83,11,4.61
160,Paita,PE,2022-05-23 20:30:41,-5.0892,-81.1144,69.28,74,4,17.11
161,Ixtapa,MX,2022-05-23 20:30:41,20.7,-105.2,81.63,61,0,11.5
162,Balabac,PH,2022-05-23 20:30:42,7.9868,117.0645,82.11,75,100,7.81
163,Aberdeen,GB,2022-05-23 20:30:02,57.1437,-2.0981,50.49,93,75,11.5
164,Tigil,RU,2022-05-23 20:30:42,57.8,158.6667,51.89,66,38,4.0
165,Puerto Ayora,EC,2022-05-23 20:30:43,-0.7393,-90.3518,82.36,92,43,1.99
166,Avarua,CK,2022-05-23 20:30:43,-21.2078,-159.775,80.65,83,20,6.91
167,Comarapa,BO,2022-05-23 20:30:43,-17.9,-64.4833,60.42,73,18,4.72
168,Hasaki,JP,2022-05-23 20:30:44,35.7333,140.8333,57.6,72,100,1.99
169,Sao Jose Da Coroa Grande,BR,2022-05-23 20:30:44,-8.8978,-35.1478,76.91,86,100,12.5
170,Melipilla,CL,2022-05-23 20:30:44,-33.7,-71.2167,58.01,50,100,4.07
171,Matay,EG,2022-05-23 20:30:45,28.419,30.7792,75.88,25,0,11.07
172,Saint-Philippe,RE,2022-05-23 20:30:45,-21.3585,55.7679,71.19,84,73,14.07
173,Nikolskoye,RU,2022-05-23 20:30:45,59.7035,30.7861,49.91,87,81,5.37
174,Navlya,RU,2022-05-23 20:30:46,52.8281,34.4989,44.74,76,3,4.9
175,Henties Bay,NA,2022-05-23 20:30:46,-22.116,14.2845,61.61,61,39,3.94
176,Sal Rei,CV,2022-05-23 20:30:47,16.1833,-22.9167,71.42,76,14,13.91
177,Geraldton,AU,2022-05-23 20:30:47,-28.7667,114.6,64.81,77,100,13.8
178,Vardo,NO,2022-05-23 20:30:47,70.3705,31.1107,37.38,87,40,17.27
179,Russell,US,2022-05-23 20:30:18,32.3502,-85.1999,83.8,61,75,9.22
180,Espanola,US,2022-05-23 20:31:48,35.9911,-106.0806,75.94,17,100,3.0
181,Gorey,IE,2022-05-23 20:31:48,52.6747,-6.2925,50.58,91,99,9.44
182,Farah,AF,2022-05-23 20:31:49,32.5,62.5,69.93,12,0,2.64
183,Luis Correia,BR,2022-05-23 20:31:49,-2.8792,-41.6669,84.2,84,75,2.3
184,Cairns,AU,2022-05-23 20:28:42,-16.9167,145.7667,73.35,89,100,8.05
185,Portland,US,2022-05-23 20:27:30,45.5234,-122.6762,71.96,46,75,5.75
186,Hassan,IN,2022-05-23 20:31:50,13.0006,76.0994,69.21,92,99,11.14
187,Castro,BR,2022-05-23 20:30:12,-24.7911,-50.0119,54.41,76,3,2.75
